cell,cell_life,minimum_dQ_60_10,variance_dQ_60_10,skewness_dQ_60_10,kurtosis_dQ_60_10,mean_dQ_60_10,Slope_Cap_Fade_2_60,Intercept_Cap_Fade_2_60,Slope_Cap_Fade_51_60,Intercept_Cap_Fade_51_60,Discharge_Cap_2,Discharge_Cap_60,Diff_MaxCap_DC2,Avg_charge_time,Temp_Integ_2_60,Min_IR,Diff_IR_2_60
b1c0,1852.000000,-2.993824,-5.971233,-0.417271,-1.423897,-3.028934,0.000017,1.075000,-0.000089,1.081344,1.070689,1.076704,0.006400,13.374894,24958.635925,0.016560,-0.000123
b1c1,2160.000000,-2.275794,-5.622332,-0.070331,-0.636048,-2.912355,0.000044,1.079928,-0.000005,1.081891,1.075301,1.081621,0.009288,13.409150,24758.573161,0.016839,-0.000070
b1c2,2237.000000,-1.986900,-5.154488,0.156139,0.104769,-2.777771,0.000045,1.083900,0.000014,1.085037,1.079922,1.085910,0.008131,13.358242,24866.398178,0.016659,-0.000054
b1c3,1434.000000,-1.946882,-4.912446,-0.170908,0.030082,-2.453282,0.000058,1.082962,-0.000049,1.088279,1.079723,1.085341,0.006089,12.025140,21292.411524,0.016208,-0.000073
b1c4,1709.000000,-2.172542,-5.164243,-0.294870,0.155531,-2.623546,0.000059,1.080778,-0.000029,1.085071,1.078417,1.083350,0.005172,12.041851,22334.075138,0.016616,-0.000120
b1c5,1074.000000,-1.814842,-4.580643,-0.355459,0.075906,-2.214977,0.000049,1.078698,-0.000023,1.082203,1.076127,1.080830,0.004889,10.967850,32493.436517,0.016227,-0.000160
b1c6,636.000000,-1.630136,-4.178038,-0.150469,0.012179,-2.078149,0.000046,1.079785,-0.000042,1.083930,1.075836,1.081382,0.006303,10.076479,19138.912486,0.016625,-0.000340
b1c7,870.000000,-1.599357,-4.203865,-0.178335,-0.061811,-2.026754,0.000024,1.096436,-0.000046,1.099908,1.093864,1.097160,0.004104,10.025082,18952.236298,0.016154,-0.000090
b1c9,1054.000000,-1.811938,-4.565414,-0.086244,-0.093824,-2.288400,0.000056,1.085749,-0.000017,1.089488,1.082974,1.088348,0.005976,11.207956,21646.245986,0.016611,-0.000105
b1c11,788.000000,-1.958950,-4.735619,-0.110876,-0.044798,-2.567141,0.000073,1.057590,-0.000005,1.061095,1.053779,1.060776,0.009460,11.668876,22552.136967,0.016097,-0.000376
b1c14,880.000000,-1.828835,-4.609197,-0.276031,0.074800,-2.256237,0.000065,1.073706,-0.000000,1.076732,1.070966,1.076707,0.005774,10.764334,34260.543843,0.016895,-0.000139
b1c15,719.000000,-1.799587,-4.504583,-0.125272,-0.006690,-2.312389,0.000076,1.064877,0.000000,1.068462,1.061124,1.068511,0.007401,10.797706,34258.153388,0.016688,-0.000355
b1c16,862.000000,-1.771795,-4.517717,-0.383458,0.074943,-2.167113,0.000062,1.084209,-0.000005,1.087371,1.081166,1.087030,0.005966,10.113108,19300.862840,0.016635,-0.000119
b1c17,857.000000,-1.785035,-4.508539,-0.272001,0.081599,-2.210975,0.000066,1.074928,-0.000008,1.078859,1.072052,1.077733,0.007174,10.146881,19207.839441,0.016238,-0.000069
b1c18,691.000000,-1.621472,-4.186948,-0.558078,0.112356,-1.992794,-0.000048,1.070500,-0.000010,1.069164,1.066170,1.068267,0.003970,9.958174,18436.836058,0.015846,-0.003913
b1c19,788.000000,-1.574284,-4.097487,-0.293464,0.053853,-1.974556,0.000020,1.088084,0.000039,1.086627,1.085115,1.088672,0.004191,9.924738,19343.611294,0.016205,-0.000107
b1c20,534.000000,-1.440650,-3.871622,-1.750739,0.031739,-1.764786,-0.000087,1.075543,-0.000173,1.079745,1.072630,1.069297,0.003094,9.021115,17112.190733,0.015143,-0.000572
b1c21,559.000000,-1.404289,-3.794364,-0.414031,0.017659,-1.776298,-0.000031,1.085039,-0.000150,1.091039,1.082439,1.082027,0.003487,8.964706,17528.183878,0.014895,-0.000171
b1c23,1014.000000,-1.763112,-4.498484,-0.405117,0.085613,-2.151590,0.000019,1.082136,-0.000122,1.089810,1.079293,1.082622,0.004493,11.447006,21640.902062,0.016473,-0.000107
b1c24,1017.000000,-1.777880,-4.489079,-0.241614,0.069187,-2.194410,0.000033,1.077107,-0.000061,1.082061,1.074536,1.078450,0.004539,12.147216,23892.494022,0.016391,-0.000074
b1c25,854.000000,-1.805949,-4.571026,-0.195189,0.032042,-2.251304,0.000036,1.077877,-0.000065,1.083140,1.075235,1.079209,0.004679,12.130127,24251.511689,0.016398,-0.000085
b1c26,870.000000,-1.669591,-4.298557,-0.499025,0.101475,-2.026560,0.000016,1.090528,-0.000049,1.093865,1.087651,1.090769,0.003895,10.764820,21118.941216,0.016130,-0.000089
b1c27,842.000000,-1.704475,-4.367378,-0.293956,0.067182,-2.100149,0.000019,1.081805,-0.000065,1.086205,1.079046,1.082254,0.003953,10.796985,21602.835593,0.015953,-0.000060
b1c28,860.000000,-1.666377,-4.326720,-0.402641,0.066774,-2.057398,0.000015,1.080467,-0.000076,1.085381,1.077748,1.080860,0.003847,11.129907,22176.639793,0.016468,-0.000038
b1c29,917.000000,-1.677870,-4.335777,-0.427752,0.083053,-2.060848,0.000023,1.082291,-0.000088,1.088254,1.079454,1.082970,0.004349,11.179535,21516.311229,0.016309,-0.000053
b1c30,709.000000,-1.641129,-4.238952,-0.282307,0.054712,-2.044013,0.000014,1.082859,-0.000059,1.086632,1.079864,1.082956,0.003955,10.130180,20034.349939,0.015838,-0.000037
