cell,cell_life,minimum_dQ_40_10,variance_dQ_40_10,skewness_dQ_40_10,kurtosis_dQ_40_10,mean_dQ_40_10,Slope_Cap_Fade_2_40,Intercept_Cap_Fade_2_40,Slope_Cap_Fade_31_40,Intercept_Cap_Fade_31_40,Discharge_Cap_2,Discharge_Cap_40,Diff_MaxCap_DC2,Avg_charge_time,Temp_Integ_2_40,Min_IR,Diff_IR_2_40
b1c0,1852.000000,-2.483420,-5.774873,-0.357033,-0.818791,-3.272416,0.000017,1.075000,0.000009,1.076328,1.070689,1.076715,0.006400,13.374894,16500.548159,0.016562,-0.000151
b1c1,2160.000000,-2.262455,-5.746860,0.294457,0.605644,-3.852149,0.000105,1.078876,-0.000024,1.082711,1.075301,1.081764,0.009288,13.409150,16393.031259,0.016839,-0.000087
b1c2,2237.000000,-2.035777,-5.347044,0.366578,0.724052,-3.297868,0.000091,1.083100,-0.000011,1.086158,1.079922,1.085787,0.008131,13.358242,16464.625729,0.016659,-0.000064
b1c3,1434.000000,-2.140869,-5.315691,-0.014473,-0.463408,-2.755176,0.000103,1.082178,-0.000001,1.085446,1.079723,1.085463,0.005837,12.025140,14098.863757,0.016208,-0.000045
b1c4,1709.000000,-2.429195,-5.739054,-0.179046,-0.013692,-3.064550,0.000105,1.079977,0.000003,1.083203,1.078417,1.083358,0.004942,12.041851,14764.434360,0.016616,-0.000116
b1c5,1074.000000,-2.069150,-5.076991,-0.276656,0.076769,-2.498098,0.000087,1.078040,0.000017,1.080248,1.076127,1.080875,0.004828,10.967850,25737.012024,0.016227,-0.000161
b1c6,636.000000,-1.805663,-4.541248,-0.057701,-0.091215,-2.326708,0.000101,1.078826,-0.000008,1.082242,1.075836,1.081878,0.006303,10.076479,12655.688590,0.016637,-0.000326
b1c7,870.000000,-1.759679,-4.552325,-0.051626,-0.259763,-2.240978,0.000052,1.095943,-0.000024,1.098494,1.093864,1.097460,0.004104,10.025082,12542.645725,0.016154,-0.000099
b1c9,1054.000000,-2.106796,-5.179806,-0.044176,-0.141341,-2.686461,0.000094,1.085108,0.000017,1.087384,1.082974,1.088065,0.005091,11.207956,14276.818761,0.016757,-0.000192
b1c11,788.000000,-2.120438,-5.107440,-0.083838,-0.296656,-3.004605,0.000138,1.056469,0.000001,1.060722,1.053779,1.060728,0.009460,11.668876,14918.628284,0.016097,-0.000414
